Id,Nombre,Descripción,Precio,Color,Talla
A01,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,negro,37
A02,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,negro,38
A03,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,negro,39
A04,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,negro,40
A05,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,negro,41
A06,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,negro,42
A07,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,negro,43
A08,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,marrón,37
A09,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,marrón,38
A10,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,marrón,39
A11,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,marrón,40
A12,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,marrón,41
A13,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,marrón,42
A14,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,marrón,43
A15,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,azul,37
A16,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,azul,38
A17,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,azul,39
A18,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,azul,40
A19,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,azul,41
A20,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,azul,42
A21,Zapatos Casual Clásico,Elaborados en cuero genuino,159900,azul,43
B01,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,negro,37
B02,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,negro,38
B03,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,negro,39
B04,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,negro,40
B05,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,negro,41
B06,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,negro,42
B07,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,negro,43
B08,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,marrón,37
B09,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,marrón,38
B10,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,marrón,39
B11,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,marrón,40
B12,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,marrón,41
B13,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,marrón,42
B14,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,marrón,43
B15,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,azul,37
B16,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,azul,38
B17,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,azul,39
B18,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,azul,40
B19,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,azul,41
B20,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,azul,42
B21,Zapato Titanium Deportivo,elaborados en cuero sintético,149900,azul,43
